,id,own,Llnassets,Lexport,Lavwage,Linnovation,Llnkapital,LassetsGR,Finnovation
28,4779.0,0.0,1.2384644,1.0,22155.07,0.0,14.61163,-0.002714157,0.0
29,4217.0,0.0,-0.90688133,0.0,16294.214,0.0,11.198014,0.42511272,1.0
30,5283.0,0.0,2.8676815,1.0,21149.766,0.0,15.50779,0.03590393,0.0
31,2258.0,0.0,-0.7596731,0.0,25125.162,0.0,14.44815,0.006257057,1.0
32,4364.0,0.0,1.1559563,1.0,33707.836,0.0,15.979035,0.07509613,0.0
33,2309.0,0.0,1.6473789,1.0,38340.56,1.0,17.130545,0.03935623,1.0
34,1896.0,0.0,-1.7608318,1.0,40880.184,0.0,12.899968,-0.28500748,0.0
35,4994.0,0.0,-1.8936043,0.0,23396.795,0.0,12.920009,0.05561638,0.0
36,5219.0,0.0,1.8044062,1.0,19937.0,0.0,16.07038,0.02017212,0.0
37,1634.0,0.0,-1.1628895,1.0,23416.393,0.0,14.038091,0.051221848,0.0
38,5328.0,0.0,0.27684402,1.0,18634.81,1.0,16.47402,0.11074257,1.0
39,5066.0,0.0,-2.7738276,0.0,10438.803,0.0,10.779898,0.11213684,0.0
40,5325.0,0.0,2.7025557,1.0,35512.85,1.0,17.566013,0.16397095,1.0
41,4312.0,0.0,-2.1244555,0.0,9019.02,0.0,9.920193,0.4748516,0.0
42,500.0,0.0,-0.40650082,1.0,18896.854,0.0,12.672312,0.07876015,0.0
43,2411.0,0.0,2.2648182,1.0,25120.379,1.0,16.967594,-0.05374527,0.0
44,1103.0,0.0,-1.0389853,1.0,18847.516,0.0,11.492333,0.022964478,0.0
45,1655.0,0.0,-1.0246792,0.0,12330.669,0.0,13.037131,0.24307442,0.0
46,4957.0,0.0,0.5826454,1.0,39790.91,0.0,17.681852,0.074827194,0.0
47,4811.0,0.0,-1.5052948,1.0,31170.893,0.0,14.834311,-0.06433487,0.0
48,2048.0,0.0,-3.897973,0.0,18133.457,0.0,10.677289,0.20863247,0.0
49,1602.0,0.0,-3.3386793,0.0,24402.639,0.0,10.585305,0.20902538,0.0
50,5185.0,0.0,-2.926653,0.0,8976.787,1.0,12.429967,0.20960999,0.0
51,5307.0,0.0,2.513856,1.0,38890.73,1.0,17.269974,0.075611115,0.0
52,1447.0,0.0,3.022212,1.0,37437.016,1.0,18.475878,0.042657852,1.0
53,4887.0,0.0,-1.857647,0.0,13885.341,0.0,12.733733,0.05400467,0.0
54,788.0,0.0,-0.043426514,1.0,29926.312,1.0,14.727532,0.07592487,0.0
55,3672.0,0.0,-2.3836813,0.0,18019.055,0.0,11.309731,0.093850136,0.0
56,4678.0,0.0,-2.2180872,0.0,12374.007,0.0,11.214837,0.06496525,0.0
57,2887.0,0.0,3.2625875,1.0,28188.635,1.0,17.447502,-0.019571304,1.0
58,1961.0,0.0,3.3576736,1.0,40899.89,1.0,19.113138,0.062927246,1.0
59,2980.0,0.0,1.7984438,0.0,49277.492,0.0,16.12118,0.04099083,0.0
60,2789.0,0.0,-1.5722971,1.0,28695.422,0.0,12.863286,0.04885006,0.0
61,5291.0,0.0,2.0820236,1.0,16710.824,0.0,16.330982,0.16805267,0.0
62,3455.0,0.0,-1.3197813,0.0,18058.342,0.0,14.818492,-0.057928085,0.0
63,3492.0,0.0,-1.1615181,0.0,8711.132,0.0,13.08938,-0.09978485,0.0
64,3310.0,0.0,-0.6793089,1.0,17189.754,0.0,13.09731,0.2856617,0.0
65,1762.0,0.0,-2.700533,0.0,29115.576,1.0,13.87815,-0.03766918,0.0
66,221.0,0.0,-1.122508,0.0,16704.332,0.0,12.818086,-0.08590603,0.0
67,3561.0,0.0,-1.8483658,0.0,22301.79,0.0,12.377849,-0.080221176,1.0
68,5300.0,0.0,1.6404829,0.0,28098.783,0.0,15.24293,-0.029554367,0.0
